City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
188,San Cristobal,VE,68.18,broken clouds,7.7669,-72.225,Pirineos
189,Kpalime,TG,68.76,overcast clouds,6.9,0.6333,Hotel La Lumiere Kpalimé
190,Kampot,KH,87.85,overcast clouds,10.6167,104.1833,Two Moons Hotel
191,Rawson,AR,34.41,snow,-43.3002,-65.1023,Hosteria Sampedro
192,Klaksvik,FO,50.92,overcast clouds,62.2266,-6.589,Airbnb rooms
193,San Rafael,AR,50.7,few clouds,-34.6177,-68.3301,Hotel San Rafael
194,Acari,PE,62.13,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
195,Tigil,RU,68.63,clear sky,57.8,158.6667,Tigil'
196,Morondava,MG,74.28,scattered clouds,-20.2833,44.2833,La Case Bambou
197,Brae,GB,52.11,overcast clouds,60.3964,-1.353,Busta House Hotel
198,San Quintin,MX,65.93,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
199,Tymovskoye,RU,76.26,broken clouds,50.8456,142.655,"Gostinitsa ""Domashnyaya"""
200,Progreso,MX,80.11,clear sky,21.2833,-89.6667,Playa Linda Hotel
201,Takoradi,GH,73.47,broken clouds,4.8845,-1.7554,Raybow International Hotel
202,Taicheng,CN,80.82,clear sky,38.731,113.228,五台山康旅酒店
203,Kruisfontein,ZA,50.88,light rain,-34.0033,24.7314,Oyster Bay House Rental
204,Puerto Baquerizo Moreno,EC,68.9,few clouds,-0.9,-89.6,Hotel los Algarrobos
205,Vagur,FO,50.0,overcast clouds,61.4732,-6.8119,Budget Guesthouse Borgustova
206,Sao Joao Da Barra,BR,70.25,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
207,Ocos,GT,78.87,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
208,Mehamn,NO,55.31,light intensity drizzle,71.0357,27.8492,Mehamn Arctic Hotel AS
209,Tarakan,ID,89.1,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
211,Kamaishi,JP,72.75,light rain,39.2667,141.8833,Hotel Route Inn Kamaishi
212,Sahuaripa,MX,75.43,overcast clouds,29.05,-109.2333,Estatua de Sahuaripa
213,Awbari,LY,78.82,clear sky,26.5921,12.7805,فندق أوباري
214,Tual,ID,78.76,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
215,Ak-Dovurak,RU,73.83,scattered clouds,51.1833,90.6,Khostel Avtomoyka Stoyaka
217,Vestmannaeyjar,IS,51.66,overcast clouds,63.4427,-20.2734,Glamping & Camping
218,Umba,RU,59.09,light rain,66.6871,34.3429,Cedar Grass Beloye More
219,Tuatapere,NZ,41.65,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
221,Sawtell,AU,60.82,broken clouds,-30.3833,153.1,The Bungalow Sawtell
222,Batagay,RU,78.19,broken clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
223,Sitka,US,53.69,moderate rain,57.0531,-135.33,Westmark Sitka
224,Mount Isa,AU,76.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
225,Auch,FR,64.89,broken clouds,43.65,0.5833,Hotel Le Domaine De Baulieu
226,Hede,CN,82.42,overcast clouds,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
227,Fairfield,US,66.65,clear sky,38.2494,-122.04,Hilton Garden Inn Fairfield
228,Mahebourg,MU,74.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
229,Harper,LR,73.8,broken clouds,4.375,-7.7169,Screensaver
230,Steamboat Springs,US,72.9,clear sky,40.485,-106.8317,Steamboat Grand
231,Qaqortoq,GL,43.63,broken clouds,60.7167,-46.0333,Siniffik Inn
232,Komsomolets,KZ,75.18,clear sky,53.7453,62.0708,Avtostoyanka
233,Mahina,PF,76.77,light rain,-17.5065,-149.489,Guest Beach Bungalow Tahiti
234,Sunrise Manor,US,101.25,overcast clouds,36.2111,-115.0731,Comfort Inn & Suites Las Vegas - Nellis
235,Rocky Mountain House,CA,53.47,overcast clouds,52.3668,-114.9188,Walking Eagle Inn & Lodge
237,Kieta,PG,82.9,light rain,-6.2167,155.6333,Uruna Bay Retreat
239,Benalla,AU,58.86,overcast clouds,-36.55,145.9833,Rose City Motor Inn
240,Constitucion,CL,51.76,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
241,Reconquista,AR,62.58,light rain,-29.15,-59.65,Grand Hotel
242,Cherskiy,RU,56.61,scattered clouds,68.75,161.3,Gostinitsa
243,High Level,CA,59.11,clear sky,58.5169,-117.136,Days Inn by Wyndham High Level
244,Ambilobe,MG,78.75,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
245,Livadiya,RU,65.97,overcast clouds,42.8692,132.6764,"Tourist base ""Silger"""
246,Rognan,NO,51.89,overcast clouds,67.0953,15.3878,Rognan Hotell
247,Bet Shemesh,IL,79.45,clear sky,31.7496,34.9888,Bethlehem Suites Dreams
248,Pevek,RU,34.23,broken clouds,69.7008,170.3133,Severnoye Zoloto
249,Vila Velha,BR,69.75,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
250,Thunder Bay,CA,60.78,few clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
251,Nanortalik,GL,45.1,scattered clouds,60.1432,-45.2371,Hotel Kap Farvel
252,Rorvik,NO,52.12,scattered clouds,64.8621,11.2373,Kysthotellet Rørvik AS
253,Ghatal,IN,92.35,overcast clouds,22.6667,87.7167,Mongal Bhawan
254,Berlevag,NO,57.0,overcast clouds,70.8578,29.0864,Kvitbrakka
255,Big Bend,SZ,77.97,clear sky,-26.8167,31.9333,The Lebombo Villa B+B
258,Shubarkuduk,KZ,82.81,few clouds,49.1447,56.4872,Sirius
259,Cidreira,BR,63.05,moderate rain,-30.1811,-50.2056,Hotel Castelo
260,Mount Gambier,AU,55.02,overcast clouds,-37.8333,140.7667,The Commodore
261,Te Anau,NZ,41.56,moderate rain,-45.4167,167.7167,Kingsgate Hotel Te Anau
262,Myingyan,MM,90.72,overcast clouds,21.4667,95.3833,Yamethin
263,Fortuna,US,58.93,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
264,Wabana,CA,66.78,overcast clouds,47.6332,-52.9481,Hotel Pavla
265,Kloulklubed,PW,77.5,moderate rain,7.0419,134.2556,Storyboard Beach Resort
266,Gambela,ET,71.47,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
267,Songkhla,TH,89.8,overcast clouds,7.1988,100.5951,BP Samila Beach Hotel
268,Malakal,SS,80.29,light rain,9.5334,31.6605,Nile Palace Hotel
269,Lorengau,PG,85.1,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
270,Havelock,US,82.35,broken clouds,34.8791,-76.9013,Sherwood Motel
272,Puerto Escondido,MX,80.19,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
273,Kathu,TH,86.7,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
274,Kununurra,AU,85.98,clear sky,-15.7667,128.7333,Hotel Kununurra
275,Homer,US,53.8,clear sky,59.6425,-151.5483,Beluga Lake Lodge
276,Kharp,RU,57.11,clear sky,66.8014,65.8081,"Hotel ""Sob"""
277,Kisangani,CD,72.48,overcast clouds,0.5167,25.2,Grand Ramela Hotel
278,Lagoa,PT,71.58,overcast clouds,39.05,-27.9833,Casa Das Faias
279,Carutapera,BR,74.3,broken clouds,-1.195,-46.02,Lidera
280,Olutanga,PH,81.59,overcast clouds,7.3106,122.8464,Morales Lodge
281,Kandrian,PG,84.7,scattered clouds,-6.2167,149.55,Kandrian Station
283,Kindu,CD,74.79,overcast clouds,-2.95,25.95,Résidence Okanda
284,Sur,OM,92.68,broken clouds,22.5667,59.5289,Sur Plaza Hotel
285,Watari,JP,87.78,broken clouds,38.035,140.8511,Hotel Boston Club
