City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
193,San Rafael,AR,-34.6177,-68.3301,50.7,37,24,3.27,few clouds
194,Acari,PE,-15.4311,-74.6158,62.13,75,27,1.79,scattered clouds
195,Tigil,RU,57.8,158.6667,68.63,37,2,15.23,clear sky
196,Morondava,MG,-20.2833,44.2833,74.28,60,35,7.52,scattered clouds
197,Brae,GB,60.3964,-1.353,52.11,80,100,7.54,overcast clouds
198,San Quintin,MX,30.4833,-115.95,65.93,84,20,6.29,few clouds
199,Tymovskoye,RU,50.8456,142.655,76.26,64,74,0.45,broken clouds
200,Progreso,MX,21.2833,-89.6667,80.11,82,7,8.95,clear sky
201,Takoradi,GH,4.8845,-1.7554,73.47,81,62,4.88,broken clouds
202,Taicheng,CN,38.731,113.228,80.82,31,0,6.8,clear sky
203,Kruisfontein,ZA,-34.0033,24.7314,50.88,85,100,15.01,light rain
204,Puerto Baquerizo Moreno,EC,-0.9,-89.6,68.9,79,22,12.35,few clouds
205,Vagur,FO,61.4732,-6.8119,50.0,84,100,13.47,overcast clouds
206,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.25,89,0,11.27,clear sky
207,Ocos,GT,14.5094,-92.1933,78.87,87,94,13.27,overcast clouds
208,Mehamn,NO,71.0357,27.8492,55.31,82,40,12.66,light intensity drizzle
209,Tarakan,ID,3.3,117.6333,89.1,62,40,5.75,scattered clouds
210,Goure,NE,13.9835,10.2704,75.02,69,100,13.62,light rain
211,Kamaishi,JP,39.2667,141.8833,72.75,95,84,7.72,light rain
212,Sahuaripa,MX,29.05,-109.2333,75.43,86,100,4.14,overcast clouds
213,Awbari,LY,26.5921,12.7805,78.82,26,4,9.28,clear sky
214,Tual,ID,-5.6667,132.75,78.76,77,98,14.34,overcast clouds
215,Ak-Dovurak,RU,51.1833,90.6,73.83,30,29,4.47,scattered clouds
216,Novoagansk,RU,61.9449,76.6625,54.93,64,99,14.54,overcast clouds
217,Vestmannaeyjar,IS,63.4427,-20.2734,51.66,90,87,1.39,overcast clouds
218,Umba,RU,66.6871,34.3429,59.09,88,100,4.43,light rain
219,Tuatapere,NZ,-46.1333,167.6833,41.65,87,54,3.22,broken clouds
220,Lodja,CD,-3.4833,23.4333,75.02,75,64,1.74,broken clouds
221,Sawtell,AU,-30.3833,153.1,60.82,82,75,11.5,broken clouds
222,Batagay,RU,67.6333,134.6333,78.19,40,72,3.44,broken clouds
223,Sitka,US,57.0531,-135.33,53.69,96,100,5.44,moderate rain
224,Mount Isa,AU,-20.7333,139.5,76.77,16,0,5.75,clear sky
225,Auch,FR,43.65,0.5833,64.89,66,78,4.65,broken clouds
